Municipality,Charging_stations
Calmarza,0
Calomarde,0
Calonge De Segarra,0
Calonge I Sant Antoni,2
Calp,2
Caltojar,0
Calvarrasa De Abajo,0
Calvarrasa De Arriba,0
Calvià,7
Calvos De Randín,0
Calzada De Calatrava,0
Calzada De Don Diego,0
Calzada De Los Molinos,0
Calzada De Oropesa,0
Calzada De Valdunciel,0
Calzada Del Coto,0
Calzadilla,0
Calzadilla De Los Barros,0
Calzadilla De Tera,0
Camaleño,0
Camarasa,0
Camarena,0
Camarena De La Sierra,0
Camarenilla,0
Camargo,8
Camarillas,0
Camariñas,0
Camarles,2
Camarma De Esteruelas,0
Camarzana De Tera,0
Camas,0
Camañas,0
Cambados,0
Cambil,0
Cambre,0
Cambrils,2
Caminomorisco,0
Caminreal,1
Campanario,0
Campanet,0
Campaspero,0
Campazas,0
Campdevànol,0
Campelles,0
Campezo/Kanpezu,0
Campillo De Altobuey,0
Campillo De Aragón,0
Campillo De Aranda,0
Campillo De Arenas,0
Campillo De Azaba,0
Campillo De Deleitosa,0
Campillo De Dueñas,0
Campillo De Llerena,0
Campillo De Ranas,0
Campillos,0
Campillos-Paravientos,0
Campillos-Sierra,0
Campins,0
Campisábalos,0
Campllong,0
Campo,0
Campo De Criptana,0
Campo De San Pedro,0
Campo De Villavidel,0
Campo Lameiro,0
Campo Lugar,0
Campo Real,0
Campofrío,1
Campolara,0
Camponaraya,0
Campoo De Enmedio,0
Campoo De Yuso,2
Camporredondo,0
Camporrobles,0
Camporrélls,0
Campos,0
Campos Del Paraíso,0
Campos Del Río,0
Campotéjar,0
Camprodon,1
Camprovín,0
Camuñas,0
Camós,0
Canal De Berdún,0
Canalejas De Peñafiel,0
Canalejas Del Arroyo,0
Canales,0
Canales De La Sierra,0
Canals,0
Candamo,1
Candasnos,0
Candelaria,0
Candelario,1
Candeleda,0
Candilichera,0
Candín,0
Canejan,0
Canena,0
Canencia,0
Canet D'Adri,0
Canet D'En Berenguer,1
Canet De Mar,1
Canet Lo Roig,0
Canfranc,0
Cangas,0
Cangas De Onís,1
Cangas Del Narcea,0
Canicosa De La Sierra,0
Caniles,0
Canillas De Abajo,0
Canillas De Aceituno,0
Canillas De Albaida,0
Canillas De Esgueva,0
Canillas De Río Tuerto,0
Canjáyar,0
Canovelles,0
Canredondo,0
Cantabrana,0
Cantagallo,0
Cantalapiedra,0
Cantalejo,0
Cantallops,0
Cantalojas,0
Cantalpino,0
Cantaracillo,0
Cantavieja,0
Cantillana,0
Cantimpalos,0
Cantiveros,0
Cantoria,0
Canyelles,2
Capafonts,0
Caparroso,0
Capdepera,1
Capdesaso,0
Capella,0
Capellades,0
Capileira,0
Capilla,0
Capillas,0
Capmany,1
Capolat,0
Capçanes,0
Carabantes,0
Carabaña,0
Carabias,0
Caracena,0
Caracuel De Calatrava,0
Carataunas,0
Caravaca De La Cruz,0
Caravia,0
Carazo,0
Carbajales De Alba,0
Carbajo,0
Carbajosa De La Sagrada,1
Carballeda De Avia,0
Carballeda De Valdeorras,0
Carballedo,0
Carballo,1
Carbellino,0
Carboneras,0
Carboneras De Guadazaón,0
Carbonero El Mayor,0
Carboneros,0
Carcaboso,0
Carcabuey,0
Carcaixent,0
Carcastillo,0
Carcedo De Bureba,0
Carcedo De Burgos,0
Carcelén,0
Cardedeu,0
Cardenete,0
Cardeña,0
Cardeñadijo,0
Cardeñajimeno,1
Cardeñosa,0
Cardeñosa De Volpejera,0
Cardeñuela Riopico,0
Cardiel De Los Montes,0
Cardona,0
Carenas,0
Cariñena,0
Cariño,0
Carlet,0
Carme,0
Carmena,0
Carmona,0
Carmonita,0
Carnota,0
Carpio,0
Carpio De Azaba,0
Carracedelo,0
Carral,0
Carranque,0
Carrascal De Barregas,0
Carrascal Del Obispo,0
Carrascal Del Río,0
Carrascalejo,0
Carrascosa,0
Carrascosa De Abajo,0
Carrascosa De Haro,0
Carrascosa De La Sierra,0
Carratraca,0
Carreño,1
Carrias,0
Carriches,0
Carrizo,0
Carrizosa,0
Carrión De Calatrava,0
Carrión De Los Condes,1
Carrión De Los Céspedes,0
Carrocera,0
Carrícola,0
Cartagena,1
Cartajima,0
Cartaya,0
Cartelle,0
Cartes,0
Carucedo,1
Casa De Uceda,0
Casabermeja,0
Casafranca,0
Casalarreina,0
Casar De Cáceres,2
Casar De Palomero,0
Casarabonela,0
Casarejos,0
Casares,0
Casares De Las Hurdes,0
Casariche,0
Casarrubios Del Monte,0
Casarrubuelos,0
Casas Altas,0
Casas Bajas,0
Casas De Benítez,0
Casas De Don Antonio,0
Casas De Don Gómez,0
Casas De Don Pedro,0
Casas De Fernando Alonso,0
Casas De Garcimolina,0
Casas De Guijarro,0
Casas De Haro,0
Casas De Juan Núñez,0
Casas De Los Pinos,0
Casas De Lázaro,0
Casas De Millán,0
Casas De Miravete,0
Casas De Reina,0
Casas De San Galindo,0
Casas De Ves,0
Casas Del Castañar,0
Casas Del Monte,0
Casas Del Puerto,0
Casas-Ibáñez,0
Casasbuenas,0
Casaseca De Campeán,0
Casaseca De Las Chanas,0
Casasimarro,0
Casasola,0
Casasola De Arión,0
Casatejada,0
Casavieja,0
Casbas De Huesca,0
Cascajares De Bureba,0
Cascajares De La Sierra,0
Cascante,0
Cascante Del Río,0
Caseres,1
Casillas,0
Casillas De Coria,0
Casillas De Flores,0
Casinos,0
Casla,0
Caso,0
Caspe,0
Caspueñas,0
Casserres,0
Cassà De La Selva,2
Castalla,0
Castañar De Ibor,0
Castañares De Rioja,0
Castañeda,1
Castaño Del Robledo,0
Castejón,0
Castejón De Alarba,0
Castejón De Henares,0
Castejón De Las Armas,0
Castejón De Monegros,0
Castejón De Sos,1
Castejón De Tornos,0
Castejón De Valdejasa,0
Castejón Del Puente,0
Castel De Cabra,0
Castelflorite,0
Castell De Cabres,0
Castell De Castells,0
Castell De L'Areny,0
Castell De Mur,1
Castell-Platja D'Aro,0
Castellanos De Castro,0
Castellanos De Moriscos,0
Castellanos De Villiquera,0
Castellanos De Zapardiel,0
Castellar,0
Castellar De La Frontera,0
Castellar De La Muela,0
Castellar De La Ribera,0
Castellar De N'Hug,1
Castellar De Santiago,0
Castellar Del Riu,0
Castellar Del Vallès,0
Castellbell I El Vilar,0
Castellbisbal,3
Castellcir,0
Castelldans,0
Castelldefels,2
Castellet I La Gornal,0
Castellfollit De La Roca,0
Castellfollit De Riubregós,0
Castellfollit Del Boix,0
Castellfort,0
Castellgalí,0
Castellnou De Bages,0
Castellnou De Seana,0
Castellnovo,0
Castellolí,0
Castellonet De La Conquesta,0
Castellote,0
Castellserà,0
Castellterçol,1
Castellvell Del Camp,0
Castellví De La Marca,0
Castellví De Rosanes,0
Castelló,0
Castelló D'Empúries,1
Castelló De Farfanya,0
Castelló De La Plana,0
Castelló De Rugat,0
Castelnou,0
Castelserás,0
Castielfabib,0
Castiello De Jaca,0
Castigaleu,0
Castil De Peones,0
Castil De Vela,0
Castilblanco,0
Castilblanco De Los Arroyos,0
Castildelgado,0
Castilfalé,0
Castilforte,0
Castilfrío De La Sierra,0
Castiliscar,0
Castillazuelo,0
Castilleja De Guzmán,0
Castilleja De La Cuesta,2
Castilleja Del Campo,0
Castillejo De Iniesta,0
Castillejo De Martín Viejo,0
Castillejo De Mesleón,1
Castillejo De Robledo,0
Castillejo-Sierra,0
Castillo De Bayuela,0
Castillo De Garcimuñoz,0
Castillo De Locubín,0
Castillo De Villamalefa,0
Castillo-Albaráñez,0
Castillonroy,0
Castillonuevo,0
Castilléjar,0
Castilnuevo,0
Castilruiz,0
Castraz,0
Castrejón De La Peña,0
Castrejón De Trabancos,0
Castrelo De Miño,0
Castrelo Do Val,0
Castril,0
Castrillo De Cabrera,0
Castrillo De Don Juan,0
Castrillo De Duero,0
Castrillo De La Guareña,0
Castrillo De La Reina,0
Castrillo De La Valduerna,0
Castrillo De La Vega,0
Castrillo De Onielo,0
Castrillo De Riopisuerga,0
Castrillo De Villavega,0
Castrillo Del Val,0
Castrillo Mota De Judíos,0
Castrillo-Tejeriego,0
Castrillón,4
Castro Caldelas,0
Castro De Filabres,0
Castro De Fuentidueña,0
Castro De Rei,0
Castro Del Río,0
Castro-Urdiales,0
Castrobol,0
Castrocalbón,0
Castrocontrigo,0
Castrodeza,0
Castrogonzalo,0
Castrojeriz,0
Castrojimeno,0
Castromembibre,0
Castromocho,0
Castromonte,0
Castronuevo,0
Castronuevo De Esgueva,0
Castronuño,0
Castropodame,0
Castropol,2
Castroponce,0
Castroserna De Abajo,0
Castroserracín,0
Castrotierra De Valmadrigal,0
Castroverde,0
Castroverde De Campos,0
Castroverde De Cerrato,0
Castroviejo,0
Castuera,0
Catadau,0
Catarroja,0
Catoira,1
Catral,0
Catí,0
Caudete,0
Caudete De Las Fuentes,0
Caudiel,0
Cava,0
Cavia,0
Cayuela,0
Cazalegas,0
Cazalilla,0
Cazalla De La Sierra,0
Cazorla,0
Cazurra,0
Cañada,0
Cañada De Benatanduz,0
Cañada De Calatrava,0
Cañada Del Hoyo,0
Cañada Juncosa,0
Cañada Rosal,0
Cañada Vellida,0
Cañamaque,0
Cañamares,0
Cañamero,0
Cañas,0
Cañaveral,0
Cañaveral De León,0
Cañaveras,0
Cañaveruelas,0
Cañete,0
Cañete De Las Torres,0
Cañete La Real,0
Cañizal,0
Cañizar,0
Cañizar Del Olivar,0
Cañizares,0
Cañizo,0
Cea,0
Cebanico,0
Cebolla,0
Cebrecos,0
Cebreros,0
Cebrones Del Río,0
Ceclavín,0
Cedeira,0
Cedillo,0
Cedillo De La Torre,0
Cedillo Del Condado,0
Cedrillas,0
Cee,0
Cehegín,0
Ceinos De Campos,0
Celada Del Camino,0
Celadas,0
Celanova,1
Cella,0
Cellorigo,0
Celrà,0
Cendea De Olza/Oltza Zendea,0
Cendejas De Enmedio,0
Cendejas De La Torre,0
Cenes De La Vega,0
Cenicero,0
Cenicientos,0
Cenizate,0
Cenlle,0
Centelles,1
Centenera,0
Centenera De Andaluz,0
Cepeda,0
Cepeda La Mora,0
Cerbón,0
Cerceda,2
Cercedilla,0
Cercs,0
Cerdanyola Del Vallès,2
Cerdedo-Cotobade,0
Cerdido,0
Cerdà,0
Cereceda De La Sierra,0
Cerecinos De Campos,0
Cerecinos Del Carrizal,0
Cerezal De Peñahorcada,0
Cerezo,0
Cerezo De Abajo,0
Cerezo De Arriba,0
Cerezo De Río Tirón,0
Cernadilla,0
Cerralbo,0
Cerratón De Juarros,0
Cervantes,0
Cervatos De La Cueza,0
Cervelló,0
Cervera,1
Cervera De Buitrago,0
Cervera De La Cañada,0
Cervera De Los Montes,0
Cervera De Pisuerga,2
Cervera Del Llano,0
Cervera Del Maestre,0
Cervera Del Río Alhama,0
Cerveruela,0
Cervillego De La Cruz,0
Cervià De Les Garrigues,0
Cervià De Ter,0
Cervo,0
Cespedosa De Tormes,0
Cetina,0
Ceuta,0
Ceutí,0
Cevico De La Torre,0
Cevico Navero,0
Chagarcía Medianero,0
Chalamera,0
Chamartín,0
Chandrexa De Queixa,0
Chantada,0
Chapinería,0
Chauchina,0
Chañe,0
Checa,0
Cheles,0
Chella,0
Chelva,0
Chequilla,0
Chera,0
Chercos,0
Cheste,0
Chiclana De La Frontera,0
Chiclana De Segura,0
Chilches/Xilxes,1
Chillarón De Cuenca,0
Chillarón Del Rey,0
Chilluévar,0
Chillón,0
Chiloeches,0
Chimeneas,0
Chimillas,0
Chinchilla De Monte-Aragón,0
Chinchón,0
Chipiona,0
Chiprana,0
Chirivel,0
Chiva,0
Chodes,0
Chozas De Abajo,0
Chozas De Canales,0
Chucena,0
Chueca,0
Chulilla,0
Chumillas,0
Churriana De La Vega,0
Chía,0
Chóvar,0
Ciadoncha,0
Cidamón,0
Cidones,0
Ciempozuelos,0
Cieza,0
Cifuentes,0
Cigales,0
Cigudosa,0
Ciguñuela,0
Cihuela,0
Cihuri,0
Cijuela,0
Cillaperlata,0
Cilleros,0
Cilleros De La Bastida,0
Cilleruelo De Abajo,0
Cilleruelo De Arriba,0
Cilleruelo De San Mamés,0
Cillorigo De Liébana,0
Cillán,0
Cimanes De La Vega,0
Cimanes Del Tejar,0
Cimballa,0
Cinco Olivas,0
Cincovillas,0
Cinctorres,0
Cintruénigo,0
Cipérez,0
Cirat,0
Cirauqui/Zirauki,0
Ciria,0
Ciriza/Ziritza,0
Ciruelas,0
Ciruelos,0
Ciruelos De Cervera,0
Ciruelos Del Pinar,0
Cirueña,0
Cirujales Del Río,0
Cisla,0
Cisneros,0
Cistella,0
Cistierna,0
Cistérniga,0
Ciudad Real,6
Ciudad Rodrigo,0
Ciutadella De Menorca,1
Ciutadilla,0
Cizur,0
Clariana De Cardener,0
Clarés De Ribota,0
Clavijo,0
Cobeja,0
Cobeta,0
Cobeña,0
Cobisa,0
Cobos De Cerrato,0
Cobos De Fuentidueña,0
Cobreros,1
Coca,0
Coca De Alba,0
Cocentaina,0
Codo,0
Codorniz,0
Codos,0
Cofrentes,0
Cogeces De Íscar,0
Cogeces Del Monte,0
Cogollor,0
Cogollos,0
Cogollos De Guadix,0
Cogollos De La Vega,0
Cogolludo,0
Coirós,0
Colera,0
Coles,0
Colindres,0
Coll De Nargó,0
Collado De Contreras,0
Collado De La Vera,0
Collado Del Mirón,0
Collado Hermoso,0
Collado Mediano,0
Collado Villalba,0
Collazos De Boedo,0
Collbató,0
Colldejou,0
Collsuspina,0
Colmenar,0
Colmenar De Montemayor,0
Colmenar De Oreja,0
Colmenar Del Arroyo,0
Colmenar Viejo,5
Colmenarejo,0
Colomera,0
Colomers,0
Colunga,1
Colungo,0
Comares,0
Comillas,0
Comunero De Ansó Y Hecho,0
"Comunidad De 09076, 09150 Y 09578",0
"Comunidad De 09076, 09290, 09578 Y 09822",0
"Comunidad De 09076, 09290, 09578, 09606 Y 09822",0
"Comunidad De 09076, 09498 Y 09578",0
"Comunidad De 09076, 09578, 09606 Y 09822",0
"Comunidad De 09314, 09374, 09356 Y 09126",0
Comunidad De Arauzo De Miel Y Huerta Del Rey,0
Comunidad De Barbadillo De Herreros Y Vallejimeno (E.L.M.),0
Comunidad De Barbadillo Del Pez Y Jaramillo De La Fuente,0
Comunidad De Barbadillo Del Pez Y Riocavado De La Sierra,0
Comunidad De Barbarín Y Olejúa,0
Comunidad De Bascuñana Y Viloria De Rioja,0
Comunidad De Campoo Y Cabuérniga,0
Comunidad De Canicosa De La Sierra Y Casarejos,0
Comunidad De Canicosa De La Sierra Y Vilviestre Del Pinar,0
Comunidad De Castrotierra De La Valduerna,0
Comunidad De Cilleruelo De Arriba Y Pineda Trasmonte,0
"Comunidad De Covarrubias, Quintanilla Del Coco Y Retuerta",0
Comunidad De Cubillo Del Campo Y Hontoria De La Cantera,0
Comunidad De El Pont De Bar Y Cava,0
Comunidad De Fuente Carazo,0
Comunidad De Gete Y Hacinas,0
Comunidad De La Aynosa,0
Comunidad De La Pardina Del Mercadal,0
Comunidad De La Sierra Brava De Badaya,0
Comunidad De Los Ausines Y Revilla Del Campo,0
"Comunidad De Merindad De Río Ubierna, Quintanilla Vivar Y Sotragero",0
"Comunidad De Palacios De La Sierra, Vilviestre Del Pinar Y San Leonardo De Yagüe",0
Comunidad De Quintanaortuño Y Merindad De Río Ubierna,0
Comunidad De Quintanar De La Sierra Y Vilviestre Del Pinar,0
Comunidad De Quintanilla Del Agua Y Tordueles Y Puentedura,0
Comunidad De Revilla Del Campo Y Torrelara,0
Comunidad De Sepúlveda Y Riaza,0
Comunidad De Soto De La Vega Y Villazala,0
Comunidad De Tardajos Y Las Quintanillas,0
Comunidad De Tardajos Y Rabé De Las Calzadas,0
Comunidad De Tinieblas De La Sierra Y San Millán De Lara,0
Comunidad De Villagalijo Y San Vicente Del Valle,0
Comunidad De Villoruebo Y Torrelara,0
Comunidad De Vilviestre Del Pinar Y Palacios De La Sierra,0
Comunidad De Vizcaínos Y Jaramillo De La Fuente,0
Comunidad Del Valle De Salazar,0
Conca De Dalt,0
Condado De Castilnovo,0
Condado De Treviño,0
Condemios De Abajo,0
Condemios De Arriba,0
Conesa,0
Confrides,0
Congosto,0
Congosto De Valdavia,0
Congostrina,0
Conil De La Frontera,0
Conquista,0
Conquista De La Sierra,0
Consell,0
Constantina,0
Constantí,0
Constanzana,0
Consuegra,0
Contamina,0
Contreras,0
Coomonte,0
Copernal,0
Copons,0
Corbalán,0
Corbera,0
Corbera D'Ebre,1
Corbera De Llobregat,1
Corbillos De Los Oteros,0
Corbins,0
Corcos,0
Corcubión,0
Cordobilla De Lácara,0
Cordovilla,0
Cordovilla La Real,0
Cordovín,0
Corduente,0
Corella,0
Corera,0
Coreses,0
Coria,0
Coria Del Río,0
Coripe,0
Coristanco,0
Cornago,0
Cornellà De Llobregat,2
Cornellà Del Terri,0
Cornudella De Montsant,0
Corpa,0
Corporales,0
Corral De Almaguer,0
Corral De Ayllón,0
Corral De Calatrava,0
Corral-Rubio,0
Corrales De Duero,0
Corrales Del Vino,0
Corte De Peleas,0
Corteconcepción,0
Cortegada,0
Cortegana,0
Cortelazor,0
Cortes,0
Cortes De Aragón,0
Cortes De Arenoso,0
Cortes De Baza,0
Cortes De La Frontera,0
Cortes De Pallás,0
Cortes Y Graena,0
Corullón,0
Coruña Del Conde,0
Corvera De Asturias,0
Corvera De Toranzo,0
Corçà,0
Cosa,0
Coscurita,0
Coslada,1
Cospeito,0
Costitx,0
Costur,0
Cosuenda,0
Cotanes Del Monte,0
Cotes,0
Cotillas,0
Coto Mancomunado,0
Covaleda,0
Covarrubias,1
Covelo,0
Cox,0
Cozuelos De Fuentidueña,0
Coín,0
Crecente,0
Creixell,0
Crespià,0
Crespos,0
Cretas,0
Crevillent,1
Cristina,0
Cristóbal,0
Crivillén,0
"Cruïlles, Monells I Sant Sadurní De L'Heura",0
Crémenes,0
Cuacos De Yuste,0
Cuadros,0
Cualedro,0
Cuarte De Huerva,0
Cuarto Del Madroño,0
Cuaña,0
Cubas De La Sagra,0
Cubel,0
Cubelles,0
Cubells,1
Cubilla,0
Cubillas De Cerrato,0
Cubillas De Los Oteros,0
Cubillas De Rueda,0
Cubillas De Santa Marta,0
Cubillo,0
Cubillo Del Campo,1
Cubillos,0
Cubillos Del Sil,0
Cubla,0
Cubo De Benavente,0
Cubo De Bureba,0
Cubo De La Solana,0
Cucalón,0
Cudillero,1
Cuelgamures,0
Cuenca,0
Cuenca De Campos,0
Cuerva,0
Cueva De Ágreda,0
Cueva Del Hierro,0
Cuevas Bajas,0
Cuevas De Almudén,0
Cuevas De Provanco,0
Cuevas De San Clemente,0
Cuevas De San Marcos,0
Cuevas Del Almanzora,0
Cuevas Del Becerro,0
Cuevas Del Campo,0
Cuevas Del Valle,0
Cuevas Labradas,0
Culla,0
Cullera,0
Culleredo,2
Cumbres De Enmedio,0
Cumbres De San Bartolomé,0
Cumbres Mayores,0
Cunit,5
Cuntis,0
Curiel De Duero,0
Curtis,0
Cuzcurrita De Río Tirón,0
Cuéllar,1
Càlig,0
Cànoves I Samalús,0
Càrcer,0
Cáceres,7
Cádiar,0
Cádiz,1
Cájar,0
Cárcar,0
Cárcheles,0
Cárdenas,0
Cármenes,0
Cártama,0
Cáseda,0
Cástaras,0
Cáñar,0
Cóbdar,0
Cómpeta,1
Córdoba,1
Cózar,0
Cúllar,1
Cúllar Vega,0
Cútar,0
Daganzo De Arriba,0
Daimiel,0
Daimús,2
Dalías,0
Darnius,0
Daroca,0
Daroca De Rioja,0
Darro,0
Das,0
Daya Nueva,0
Daya Vieja,0
Deba,0
Degaña,0
Dehesa De Montejo,0
Dehesa De Romanos,0
Dehesa De San Felices,0
Dehesa De Santiago,0
Dehesas De Guadix,0
Dehesas Viejas,0
Deifontes,0
Deià,0
Deleitosa,0
Deltebre,1
Derio,0
Descargamaría,0
Desojo,0
Destriana,0
Deza,0
Dicastillo,0
Diego Del Carpio,0
Diezma,0
Dima,0
Dios Le Guarde,0
Dodro,0
Dolores,0
Domeño,0
Domingo García,0
Domingo Pérez,0
Domingo Pérez De Granada,0
Don Benito,0
Don Álvaro,0
Donamaria,0
Doneztebe/Santesteban,0
Donhierro,0
Donjimeno,0
Donostia/San Sebastián,5
Donvidas,0
Dos Aguas,0
Dos Hermanas,1
Dos Torres,0
Dosbarrios,0
Dosrius,0
Dozón,0
Doña Mencía,0
Doñinos De Ledesma,0
Doñinos De Salamanca,0
Driebes,0
Duesaigües,0
Dueñas,0
Dumbría,0
Durango,0
Duruelo,0
Duruelo De La Sierra,0
Durón,0
Dénia,15
Dévanos,0
Dílar,0
Dólar,1
Dúdar,0
Dúrcal,0
Ea,0
Echarri/Etxarri,0
Eibar,2
Eivissa,0
Ejea De Los Caballeros,0
Ejulve,0
El Acebrón,0
El Almendro,0
El Arco,0
El Arenal,0
El Astillero,1
El Atazar,0
El Ballestero,0
El Barco De Ávila,1
El Barraco,0
El Berrueco,0
El Boalo,0
El Bodón,0
El Bohodón,0
El Bonillo,0
El Borge,0
El Bosque,0
El Bruc,1
El Brull,0
El Burgo,0
El Burgo De Ebro,0
El Burgo Ranero,0
El Buste,0
El Busto,0
El Cabaco,0
El Camp De Mirra/Campo De Mirra,0
El Campello,0
El Campillo,0
El Campillo De La Jara,0
El Campo De Peñaranda,0
El Cardoso De La Sierra,0
El Carpio,0
El Carpio De Tajo,0
El Carrascalejo,0
El Casar,0
El Casar De Escalona,0
El Castell De Guadalest,1
El Castellar,0
El Castillo De Las Guardas,0
El Catllar,0
El Cañavate,0
El Cerro,0
El Cerro De Andévalo,0
El Cogul,0
El Coronil,0
El Cubillo De Uceda,0
El Cubo De Don Sancho,0
El Cubo De Tierra Del Vino,0
El Cuervo,0
El Cuervo De Sevilla,0
El Ejido,4
El Escorial,0
El Espinar,0
El Far D'Empordà,0
El Fondó De Les Neus/Hondón De Las Nieves,0
El Frago,0
El Franco,0
El Frasno,0
El Fresno,0
El Garrobo,0
El Gastor,0
El Genovés,0
El Gordo,0
El Grado,0
El Granado,0
El Guijo,0
El Herrumblar,0
El Hito,0
El Hornillo,0
El Hoyo De Pinares,0
El Lloar,0
El Losar Del Barco,0
El Maderal,0
El Madroño,0
El Manzano,0
El Masnou,4
El Masroig,0
El Maíllo,0
El Milano,0
El Milà,0
El Mirón,0
El Molar,1
El Montmell,0
El Morell,0
El Olivar,0
El Ordial,0
El Oso,0
El Palau D'Anglesola,0
El Palmar De Troya,0
El Palomar,0
El Papiol,0
El Parral,0
El Paso,0
El Payo,0
El Pedernoso,0
El Pedregal,0
El Pedroso,0
El Pedroso De La Armuña,0
El Pego,0
El Peral,0
El Perdigón,0
El Perelló,0
El Picazo,0
El Pinar,0
El Pinar De El Hierro,0
El Pinell De Brai,0
El Pino De Tormes,0
El Pinós/Pinoso,0
El Piñero,0
El Pla De Santa Maria,0
El Pla Del Penedès,0
El Poal,0
El Poble Nou De Benitatxell/Benitachell,0
El Pobo,0
El Pobo De Dueñas,0
El Pont D'Armentera,0
El Pont De Bar,0
El Pont De Suert,1
El Pont De Vilomara I Rocafort,0
El Port De La Selva,1
El Pozuelo,0
El Prat De Llobregat,5
El Provencio,0
El Puente Del Arzobispo,0
El Puerto De Santa María,1
El Pueyo De Araguás,0
El Puig De Santa Maria,0
El Rasillo De Cameros,0
El Real De Gandia,0
El Real De La Jara,0
El Real De San Vicente,0
El Recuenco,0
El Redal,0
El Redegüelo,0
El Robledo,0
El Romeral,0
El Ronquillo,0
El Rosario,0
El Rourell,0
El Royo,0
El Rubio,0
El Ràfol D'Almúnia,0
El Sahugo,0
El Saucejo,0
El Sauzal,0
El Soleràs,0
El Sotillo,0
El Tanque,0
El Tejado,0
El Tiemblo,0
El Toboso,0
El Tornadizo,0
El Torno,0
El Toro,0
El Valle,0
El Valle De Altomira,0
El Vallecillo,0
El Vellón,0
El Vendrell,2
El Verger,0
El Villar De Arnedo,0
El Vilosell,0
El Viso,0
El Viso De San Juan,0
El Viso Del Alcor,0
El Álamo,0
Elantxobe,0
Elburgo/Burgelu,0
Elche De La Sierra,0
Elciego,1
Elda,1
Elduain,0
Elgeta,0
Elgoibar,0
Elgorriaga,0
Eljas,0
Elorrio,0
Els Alamús,0
Els Garidells,0
Els Guiamets,0
Els Hostalets De Pierola,0
Els Omellons,0
Els Omells De Na Gaia,0
Els Pallaresos,0
Els Plans De Sió,0
Els Poblets,0
Els Prats De Rei,0
Els Torms,0
Elvillar/Bilar,0
Elx/Elche,1
Embid,0
Embid De Ariza,0
Emperador,0
Encina De San Silvestre,0
Encinacorba,0
Encinas,0
Encinas De Abajo,0
Encinas De Arriba,0
Encinas De Esgueva,0
Encinas Reales,0
Encinasola,0
Encinasola De Los Comendadores,0
Encinedo,0
Encinillas,0
Enciso,0
Encío,0
Endrinal,0
Enguera,0
Enguídanos,0
Enix,0
Entrala,0
Entrambasaguas,2
Entrena,0
Entrimo,0
Entrín Bajo,0
Enériz/Eneritz,0
Erandio,0
Eratsun,0
Ereño,0
Ergoiena,1
Erla,0
Ermua,0
Errenteria,1
Errezil,0
Erriberabeitia,2
Erriberagoitia/Ribera Alta,0
Errigoiti,0
Erro,0
Erustes,0
Es Bòrdes,0
Es Castell,0
Es Mercadal,1
Es Migjorn Gran,1
Escacena Del Campo,0
Escalante,0
Escalona,0
Escalona Del Prado,0
Escalonilla,0
Escamilla,0
Escarabajosa De Cabezas,0
Escariche,0
Escatrón,0
Escañuela,0
Escobar De Campos,0
Escobar De Polendos,0
Escobosa De Almazán,0
Escopete,0
Escorca,3
Escorihuela,0
Escucha,0
Escurial,0
Escurial De La Sierra,0
Escúzar,0
Esgos,0
Esguevillas De Esgueva,0
Eskoriatza,0
Eslava,0
Eslida,0
Espadaña,0
Espadañedo,0
Espadilla,0
Esparragalejo,0
Esparragosa De La Serena,0
Esparragosa De Lares,0
Esparreguera,0
Espartinas,0
Esparza De Salazar/Espartza Zaraitzu,0
Espeja,0
Espeja De San Marcelino,0
Espejo,0
Espejón,0
Espeluy,0
Espera,0
Espiel,0
Espinelves,0
Espino De La Orbada,0
Espinosa De Cerrato,0
Espinosa De Cervera,0
Espinosa De Henares,0
Espinosa De Los Caballeros,1
Espinosa De Los Monteros,1
Espinosa De Villagonzalo,0
Espinosa Del Camino,0
Espinoso Del Rey,0
Espirdo,1
Esplegares,0
Esplugues De Llobregat,0
Esplús,0
Espolla,1
Esponellà,0
Esporles,0
Espot,0
Espronceda,0
Esquivias,0
Establés,0
Estada,0
Estadilla,0
Estamariu,0
Estaràs,0
Estella-Lizarra,0
Estellencs,0
Estepa,1
Estepa De San Juan,0
Estepona,0
Estercuel,0
Esteribar,0
Esterri D'Àneu,0
Esterri De Cardós,0
Estivella,0
Estollo,0
Estopiñán Del Castillo,0
Estremera,0
Estriégana,0
Estubeny,0
Estépar,1
Etayo,0
Etxalar,0
Etxarri Aranatz,0
Etxauri,0
Etxebarri,0
Etxebarria,0
Eulate,0
Ezcabarte,0
Ezcaray,0
Ezcároz/Ezkaroze,0
Ezkio-Itsaso,0
Ezkurra,0
Ezprogui,0
Fabara,0
Fabero,0
Facero De Aristregui,0
Facero De Ujué Y Lerga,0
Facero De Uzamalarre,0
Facería De Aldape,0
Facería De Arambelza,0
Facería De Ayarza,0
"Facería De Cogullo Alto, Cogullo Bajo, Sarmindieta Y Chandivar",0
Facería De Ezcabarte Y Otros,0
Facería De Montejurra,0
Fageca,0
Fago,0
Falces,1
Falset,0
Famorca,0
Fanlo,0
Fanzara,0
Faraján,0
Faramontanos De Tábara,0
Fariza,0
Farlete,0
Farrera,0
Fasnia,0
Faura,0
Favara,0
Fayón,0
Felanitx,0
Felix,0
Fene,0
Feria,0
Fermoselle,0
Fernán Caballero,0
Fernán-Núñez,0
Ferreira,0
Ferreras De Abajo,0
Ferreras De Arriba,0
Ferreries,0
Ferreruela,0
