Municipality,M4_raw
Calmarza,0
Calomarde,0
Calonge De Segarra,0
Calonge I Sant Antoni,6
Calp,10
Caltojar,0
Calvarrasa De Abajo,2
Calvarrasa De Arriba,1
Calvià,127
Calvos De Randín,0
Calzada De Calatrava,0
Calzada De Don Diego,0
Calzada De Los Molinos,1
Calzada De Oropesa,0
Calzada De Valdunciel,0
Calzada Del Coto,1
Calzadilla,1
Calzadilla De Los Barros,0
Calzadilla De Tera,0
Camaleño,5
Camarasa,3
Camarena,0
Camarena De La Sierra,0
Camarenilla,0
Camargo,63
Camarillas,0
Camariñas,0
Camarles,1
Camarma De Esteruelas,7
Camarzana De Tera,0
Camas,15
Camañas,0
Cambados,10
Cambil,1
Cambre,62
Cambrils,38
Caminomorisco,1
Caminreal,0
Campanario,0
Campanet,1
Campaspero,1
Campazas,0
Campdevànol,0
Campelles,0
Campezo/Kanpezu,5
Campillo De Altobuey,0
Campillo De Aragón,0
Campillo De Aranda,0
Campillo De Arenas,0
Campillo De Azaba,0
Campillo De Deleitosa,0
Campillo De Dueñas,0
Campillo De Llerena,0
Campillo De Ranas,0
Campillos,4
Campillos-Paravientos,0
Campillos-Sierra,0
Campins,0
Campisábalos,0
Campllong,1
Campo,0
Campo De Criptana,2
Campo De San Pedro,0
Campo De Villavidel,0
Campo Lameiro,0
Campo Lugar,0
Campo Real,4
Campofrío,1
Campolara,0
Camponaraya,7
Campoo De Enmedio,7
Campoo De Yuso,15
Camporredondo,1
Camporrobles,0
Camporrélls,0
Campos,13
Campos Del Paraíso,0
Campos Del Río,0
Campotéjar,0
Camprodon,0
Camprovín,0
Camuñas,2
Camós,5
Canal De Berdún,0
Canalejas De Peñafiel,0
Canalejas Del Arroyo,0
Canales,1
Canales De La Sierra,0
Canals,0
Candamo,0
Candasnos,2
Candelaria,0
Candelario,0
Candeleda,0
Candilichera,0
Candín,0
Canejan,0
Canena,3
Canencia,0
Canet D'Adri,1
Canet D'En Berenguer,4
Canet De Mar,6
Canet Lo Roig,0
Canfranc,4
Cangas,29
Cangas De Onís,17
Cangas Del Narcea,0
Canicosa De La Sierra,1
Caniles,0
Canillas De Abajo,0
Canillas De Aceituno,1
Canillas De Albaida,1
Canillas De Esgueva,1
Canillas De Río Tuerto,0
Canjáyar,0
Canovelles,6
Canredondo,0
Cantabrana,0
Cantagallo,0
Cantalapiedra,0
Cantalejo,1
Cantallops,0
Cantalojas,0
Cantalpino,0
Cantaracillo,0
Cantavieja,0
Cantillana,1
Cantimpalos,0
Cantiveros,0
Cantoria,0
Canyelles,4
Capafonts,0
Caparroso,2
Capdepera,35
Capdesaso,0
Capella,1
Capellades,5
Capileira,2
Capilla,0
Capillas,1
Capmany,0
Capolat,0
Capçanes,0
Carabantes,0
Carabaña,18
Carabias,0
Caracena,0
Caracuel De Calatrava,0
Carataunas,2
Caravaca De La Cruz,1
Caravia,3
Carazo,0
Carbajales De Alba,0
Carbajo,1
Carbajosa De La Sagrada,29
Carballeda De Avia,0
Carballeda De Valdeorras,0
Carballedo,0
Carballo,25
Carbellino,0
Carboneras,1
Carboneras De Guadazaón,0
Carbonero El Mayor,0
Carboneros,0
Carcaboso,0
Carcabuey,3
Carcaixent,1
Carcastillo,2
Carcedo De Bureba,0
Carcedo De Burgos,3
Carcelén,1
Cardedeu,27
Cardenete,0
Cardeña,0
Cardeñadijo,1
Cardeñajimeno,3
Cardeñosa,0
Cardeñosa De Volpejera,0
Cardeñuela Riopico,0
Cardiel De Los Montes,0
Cardona,3
Carenas,0
Cariñena,2
Cariño,1
Carlet,0
Carme,0
Carmena,0
Carmona,2
Carmonita,0
Carnota,2
Carpio,0
Carpio De Azaba,0
Carracedelo,2
Carral,38
Carranque,0
Carrascal De Barregas,5
Carrascal Del Obispo,1
Carrascal Del Río,0
Carrascalejo,0
Carrascosa,0
Carrascosa De Abajo,0
Carrascosa De Haro,0
Carrascosa De La Sierra,0
Carratraca,1
Carreño,24
Carrias,0
Carriches,0
Carrizo,0
Carrizosa,0
Carrión De Calatrava,0
Carrión De Los Condes,2
Carrión De Los Céspedes,0
Carrocera,0
Carrícola,0
Cartagena,450
Cartajima,1
Cartaya,6
Cartelle,0
Cartes,3
Carucedo,0
Casa De Uceda,0
Casabermeja,1
Casafranca,0
Casalarreina,0
Casar De Cáceres,0
Casar De Palomero,0
Casarabonela,0
Casarejos,1
Casares,8
Casares De Las Hurdes,0
Casariche,2
Casarrubios Del Monte,0
Casarrubuelos,4
Casas Altas,0
Casas Bajas,0
Casas De Benítez,0
Casas De Don Antonio,0
Casas De Don Gómez,0
Casas De Don Pedro,0
Casas De Fernando Alonso,0
Casas De Garcimolina,0
Casas De Guijarro,0
Casas De Haro,0
Casas De Juan Núñez,0
Casas De Los Pinos,0
Casas De Lázaro,1
Casas De Millán,0
Casas De Miravete,1
Casas De Reina,0
Casas De San Galindo,0
Casas De Ves,0
Casas Del Castañar,1
Casas Del Monte,0
Casas Del Puerto,0
Casas-Ibáñez,1
Casasbuenas,0
Casaseca De Campeán,0
Casaseca De Las Chanas,0
Casasimarro,0
Casasola,0
Casasola De Arión,1
Casatejada,1
Casavieja,0
Casbas De Huesca,0
Cascajares De Bureba,0
Cascajares De La Sierra,0
Cascante,0
Cascante Del Río,0
Caseres,1
Casillas,0
Casillas De Coria,1
Casillas De Flores,0
Casinos,0
Casla,1
Caso,5
Caspe,2
Caspueñas,0
Casserres,3
Cassà De La Selva,7
Castalla,2
Castañar De Ibor,1
Castañares De Rioja,0
Castañeda,4
Castaño Del Robledo,0
Castejón,0
Castejón De Alarba,0
Castejón De Henares,0
Castejón De Las Armas,0
Castejón De Monegros,0
Castejón De Sos,2
Castejón De Tornos,0
Castejón De Valdejasa,0
Castejón Del Puente,0
Castel De Cabra,0
Castelflorite,0
Castell De Cabres,0
Castell De Castells,0
Castell De L'Areny,0
Castell De Mur,3
Castell-Platja D'Aro,6
Castellanos De Castro,0
Castellanos De Moriscos,3
Castellanos De Villiquera,1
Castellanos De Zapardiel,0
Castellar,0
Castellar De La Frontera,1
Castellar De La Muela,1
Castellar De La Ribera,0
Castellar De N'Hug,0
Castellar De Santiago,0
Castellar Del Riu,0
Castellar Del Vallès,50
Castellbell I El Vilar,2
Castellbisbal,13
Castellcir,0
Castelldans,2
Castelldefels,149
Castellet I La Gornal,4
Castellfollit De La Roca,3
Castellfollit De Riubregós,0
Castellfollit Del Boix,0
Castellfort,0
Castellgalí,12
Castellnou De Bages,0
Castellnou De Seana,0
Castellnovo,0
Castellolí,2
Castellonet De La Conquesta,1
Castellote,0
Castellserà,0
Castellterçol,10
Castellvell Del Camp,0
Castellví De La Marca,4
Castellví De Rosanes,0
Castelló,0
Castelló D'Empúries,11
Castelló De Farfanya,0
Castelló De La Plana,216
Castelló De Rugat,0
Castelnou,0
Castelserás,0
Castielfabib,1
Castiello De Jaca,5
Castigaleu,0
Castil De Peones,0
Castil De Vela,0
Castilblanco,0
Castilblanco De Los Arroyos,0
Castildelgado,1
Castilfalé,1
Castilforte,0
Castilfrío De La Sierra,0
Castiliscar,0
Castillazuelo,0
Castilleja De Guzmán,1
Castilleja De La Cuesta,29
Castilleja Del Campo,0
Castillejo De Iniesta,0
Castillejo De Martín Viejo,0
Castillejo De Mesleón,0
Castillejo De Robledo,0
Castillejo-Sierra,0
Castillo De Bayuela,2
Castillo De Garcimuñoz,0
Castillo De Locubín,0
Castillo De Villamalefa,0
Castillo-Albaráñez,0
Castillonroy,1
Castillonuevo,0
Castilléjar,2
Castilnuevo,0
Castilruiz,0
Castraz,0
Castrejón De La Peña,0
Castrejón De Trabancos,0
Castrelo De Miño,0
Castrelo Do Val,0
Castril,1
Castrillo De Cabrera,0
Castrillo De Don Juan,0
Castrillo De Duero,0
Castrillo De La Guareña,0
Castrillo De La Reina,0
Castrillo De La Valduerna,0
Castrillo De La Vega,1
Castrillo De Onielo,0
Castrillo De Riopisuerga,0
Castrillo De Villavega,0
Castrillo Del Val,3
Castrillo Mota De Judíos,0
Castrillo-Tejeriego,1
Castrillón,46
Castro Caldelas,0
Castro De Filabres,0
Castro De Fuentidueña,0
Castro De Rei,6
Castro Del Río,1
Castro-Urdiales,38
Castrobol,0
Castrocalbón,1
Castrocontrigo,1
Castrodeza,0
Castrogonzalo,1
Castrojeriz,2
Castrojimeno,0
Castromembibre,0
Castromocho,0
Castromonte,1
Castronuevo,0
Castronuevo De Esgueva,0
Castronuño,0
Castropodame,0
Castropol,2
Castroponce,0
Castroserna De Abajo,0
Castroserracín,0
Castrotierra De Valmadrigal,0
Castroverde,1
Castroverde De Campos,0
Castroverde De Cerrato,1
Castroviejo,0
Castuera,0
Catadau,0
Catarroja,4
Catoira,3
Catral,0
Catí,0
Caudete,0
Caudete De Las Fuentes,0
Caudiel,1
Cava,0
Cavia,1
Cayuela,2
Cazalegas,2
Cazalilla,0
Cazalla De La Sierra,0
Cazorla,10
Cazurra,0
Cañada,0
Cañada De Benatanduz,0
Cañada De Calatrava,0
Cañada Del Hoyo,0
Cañada Juncosa,0
Cañada Rosal,0
Cañada Vellida,0
Cañamaque,0
Cañamares,0
Cañamero,0
Cañas,0
Cañaveral,0
Cañaveral De León,3
Cañaveras,0
Cañaveruelas,0
Cañete,0
Cañete De Las Torres,0
Cañete La Real,1
Cañizal,0
Cañizar,0
Cañizar Del Olivar,1
Cañizares,0
Cañizo,0
Cea,1
Cebanico,0
Cebolla,0
Cebrecos,0
Cebreros,1
Cebrones Del Río,0
Ceclavín,0
Cedeira,6
Cedillo,1
Cedillo De La Torre,0
Cedillo Del Condado,1
Cedrillas,0
Cee,8
Cehegín,0
Ceinos De Campos,0
Celada Del Camino,0
Celadas,0
Celanova,0
Cella,0
Cellorigo,0
Celrà,5
Cendea De Olza/Oltza Zendea,9
Cendejas De Enmedio,0
Cendejas De La Torre,0
Cenes De La Vega,28
Cenicero,3
Cenicientos,2
Cenizate,0
Cenlle,0
Centelles,0
Centenera,0
Centenera De Andaluz,0
Cepeda,1
Cepeda La Mora,0
Cerbón,0
Cerceda,3
Cercedilla,31
Cercs,2
Cerdanyola Del Vallès,124
Cerdedo-Cotobade,6
Cerdido,1
Cerdà,0
Cereceda De La Sierra,0
Cerecinos De Campos,0
Cerecinos Del Carrizal,0
Cerezal De Peñahorcada,1
Cerezo,0
Cerezo De Abajo,0
Cerezo De Arriba,0
Cerezo De Río Tirón,0
Cernadilla,1
Cerralbo,1
Cerratón De Juarros,0
Cervantes,1
Cervatos De La Cueza,1
Cervelló,82
Cervera,6
Cervera De Buitrago,0
Cervera De La Cañada,0
Cervera De Los Montes,0
Cervera De Pisuerga,1
Cervera Del Llano,0
Cervera Del Maestre,0
Cervera Del Río Alhama,2
Cerveruela,0
Cervillego De La Cruz,0
Cervià De Les Garrigues,2
Cervià De Ter,1
Cervo,12
Cespedosa De Tormes,1
Cetina,0
Ceuta,22
Ceutí,19
Cevico De La Torre,0
Cevico Navero,0
Chagarcía Medianero,0
Chalamera,0
Chamartín,0
Chandrexa De Queixa,0
Chantada,1
Chapinería,0
Chauchina,18
Chañe,0
Checa,0
Cheles,0
Chella,0
Chelva,1
Chequilla,0
Chera,0
Chercos,0
Cheste,0
Chiclana De La Frontera,142
Chiclana De Segura,0
Chilches/Xilxes,1
Chillarón De Cuenca,0
Chillarón Del Rey,0
Chilluévar,1
Chillón,0
Chiloeches,1
Chimeneas,10
Chimillas,1
Chinchilla De Monte-Aragón,1
Chinchón,18
Chipiona,1
Chiprana,0
Chirivel,0
Chiva,0
Chodes,0
Chozas De Abajo,4
Chozas De Canales,0
Chucena,0
Chueca,0
Chulilla,0
Chumillas,0
Churriana De La Vega,36
Chía,0
Chóvar,2
Ciadoncha,0
Cidamón,0
Cidones,3
Ciempozuelos,26
Cieza,4
Cifuentes,4
Cigales,4
Cigudosa,0
Ciguñuela,1
Cihuela,0
Cihuri,0
Cijuela,10
Cillaperlata,0
Cilleros,0
Cilleros De La Bastida,0
Cilleruelo De Abajo,0
Cilleruelo De Arriba,0
Cilleruelo De San Mamés,0
Cillorigo De Liébana,1
Cillán,0
Cimanes De La Vega,0
Cimanes Del Tejar,0
Cimballa,0
Cinco Olivas,0
Cincovillas,0
Cinctorres,0
Cintruénigo,0
Cipérez,0
Cirat,0
Cirauqui/Zirauki,1
Ciria,0
Ciriza/Ziritza,1
Ciruelas,0
Ciruelos,0
Ciruelos De Cervera,2
Ciruelos Del Pinar,0
Cirueña,0
Cirujales Del Río,0
Cisla,0
Cisneros,0
Cistella,1
Cistierna,1
Cistérniga,10
Ciudad Real,2
Ciudad Rodrigo,2
Ciutadella De Menorca,83
Ciutadilla,1
Cizur,5
Clariana De Cardener,1
Clarés De Ribota,0
Clavijo,0
Cobeja,0
Cobeta,0
Cobeña,6
Cobisa,2
Cobos De Cerrato,0
Cobos De Fuentidueña,0
Cobreros,0
Coca,2
Coca De Alba,0
Cocentaina,14
Codo,1
Codorniz,2
Codos,0
Cofrentes,0
Cogeces De Íscar,0
Cogeces Del Monte,1
Cogollor,0
Cogollos,1
Cogollos De Guadix,0
Cogollos De La Vega,7
Cogolludo,0
Coirós,6
Colera,0
Coles,2
Colindres,3
Coll De Nargó,1
Collado De Contreras,0
Collado De La Vera,0
Collado Del Mirón,0
Collado Hermoso,0
Collado Mediano,16
Collado Villalba,126
Collazos De Boedo,0
Collbató,6
Colldejou,0
Collsuspina,1
Colmenar,3
Colmenar De Montemayor,0
Colmenar De Oreja,10
Colmenar Del Arroyo,12
Colmenar Viejo,50
Colmenarejo,17
Colomera,10
Colomers,1
Colunga,3
Colungo,0
Comares,1
Comillas,4
Comunero De Ansó Y Hecho,0
"Comunidad De 09076, 09150 Y 09578",0
"Comunidad De 09076, 09290, 09578 Y 09822",0
"Comunidad De 09076, 09290, 09578, 09606 Y 09822",0
"Comunidad De 09076, 09498 Y 09578",0
"Comunidad De 09076, 09578, 09606 Y 09822",0
"Comunidad De 09314, 09374, 09356 Y 09126",0
Comunidad De Arauzo De Miel Y Huerta Del Rey,0
Comunidad De Barbadillo De Herreros Y Vallejimeno (E.L.M.),0
Comunidad De Barbadillo Del Pez Y Jaramillo De La Fuente,0
Comunidad De Barbadillo Del Pez Y Riocavado De La Sierra,0
Comunidad De Barbarín Y Olejúa,0
Comunidad De Bascuñana Y Viloria De Rioja,0
Comunidad De Campoo Y Cabuérniga,0
Comunidad De Canicosa De La Sierra Y Casarejos,0
Comunidad De Canicosa De La Sierra Y Vilviestre Del Pinar,0
Comunidad De Castrotierra De La Valduerna,0
Comunidad De Cilleruelo De Arriba Y Pineda Trasmonte,0
"Comunidad De Covarrubias, Quintanilla Del Coco Y Retuerta",0
Comunidad De Cubillo Del Campo Y Hontoria De La Cantera,0
Comunidad De El Pont De Bar Y Cava,0
Comunidad De Fuente Carazo,0
Comunidad De Gete Y Hacinas,0
Comunidad De La Aynosa,0
Comunidad De La Pardina Del Mercadal,0
Comunidad De La Sierra Brava De Badaya,0
Comunidad De Los Ausines Y Revilla Del Campo,0
"Comunidad De Merindad De Río Ubierna, Quintanilla Vivar Y Sotragero",0
"Comunidad De Palacios De La Sierra, Vilviestre Del Pinar Y San Leonardo De Yagüe",0
Comunidad De Quintanaortuño Y Merindad De Río Ubierna,0
Comunidad De Quintanar De La Sierra Y Vilviestre Del Pinar,0
Comunidad De Quintanilla Del Agua Y Tordueles Y Puentedura,0
Comunidad De Revilla Del Campo Y Torrelara,0
Comunidad De Sepúlveda Y Riaza,0
Comunidad De Soto De La Vega Y Villazala,0
Comunidad De Tardajos Y Las Quintanillas,0
Comunidad De Tardajos Y Rabé De Las Calzadas,0
Comunidad De Tinieblas De La Sierra Y San Millán De Lara,0
Comunidad De Villagalijo Y San Vicente Del Valle,0
Comunidad De Villoruebo Y Torrelara,0
Comunidad De Vilviestre Del Pinar Y Palacios De La Sierra,0
Comunidad De Vizcaínos Y Jaramillo De La Fuente,0
Comunidad Del Valle De Salazar,0
Conca De Dalt,0
Condado De Castilnovo,0
Condado De Treviño,13
Condemios De Abajo,0
Condemios De Arriba,0
Conesa,0
Confrides,0
Congosto,6
Congosto De Valdavia,0
Congostrina,0
Conil De La Frontera,16
Conquista,0
Conquista De La Sierra,0
Consell,6
Constantina,0
Constantí,0
Constanzana,0
Consuegra,0
Contamina,0
Contreras,0
Coomonte,0
Copernal,0
Copons,0
Corbalán,0
Corbera,0
Corbera D'Ebre,0
Corbera De Llobregat,10
Corbillos De Los Oteros,0
Corbins,0
Corcos,0
Corcubión,3
Cordobilla De Lácara,0
Cordovilla,0
Cordovilla La Real,0
Cordovín,0
Corduente,3
Corella,1
Corera,0
Coreses,2
Coria,3
Coria Del Río,3
Coripe,0
Coristanco,16
Cornago,0
Cornellà De Llobregat,71
Cornellà Del Terri,8
Cornudella De Montsant,0
Corpa,1
Corporales,0
Corral De Almaguer,0
Corral De Ayllón,0
Corral De Calatrava,0
Corral-Rubio,0
Corrales De Duero,1
Corrales Del Vino,2
Corte De Peleas,0
Corteconcepción,1
Cortegada,0
Cortegana,1
Cortelazor,1
Cortes,2
Cortes De Aragón,0
Cortes De Arenoso,0
Cortes De Baza,1
Cortes De La Frontera,8
Cortes De Pallás,0
Cortes Y Graena,0
Corullón,0
Coruña Del Conde,0
Corvera De Asturias,54
Corvera De Toranzo,10
Corçà,3
Cosa,0
Coscurita,0
Coslada,84
Cospeito,9
Costitx,5
Costur,1
Cosuenda,0
Cotanes Del Monte,0
Cotes,0
Cotillas,1
Coto Mancomunado,0
Covaleda,0
Covarrubias,1
Covelo,7
Cox,0
Cozuelos De Fuentidueña,0
Coín,1
Crecente,0
Creixell,3
Crespià,0
Crespos,2
Cretas,0
Crevillent,2
Cristina,0
Cristóbal,0
Crivillén,0
"Cruïlles, Monells I Sant Sadurní De L'Heura",2
Crémenes,1
Cuacos De Yuste,0
Cuadros,2
Cualedro,1
Cuarte De Huerva,14
Cuarto Del Madroño,0
Cuaña,0
Cubas De La Sagra,2
Cubel,0
Cubelles,53
Cubells,0
Cubilla,0
Cubillas De Cerrato,0
Cubillas De Los Oteros,0
Cubillas De Rueda,0
Cubillas De Santa Marta,0
Cubillo,0
Cubillo Del Campo,1
Cubillos,0
Cubillos Del Sil,0
Cubla,0
Cubo De Benavente,0
Cubo De Bureba,1
Cubo De La Solana,0
Cucalón,0
Cudillero,5
Cuelgamures,0
Cuenca,28
Cuenca De Campos,0
Cuerva,0
Cueva De Ágreda,0
Cueva Del Hierro,0
Cuevas Bajas,3
Cuevas De Almudén,0
Cuevas De Provanco,0
Cuevas De San Clemente,1
Cuevas De San Marcos,0
Cuevas Del Almanzora,0
Cuevas Del Becerro,0
Cuevas Del Campo,0
Cuevas Del Valle,0
Cuevas Labradas,0
Culla,0
Cullera,9
Culleredo,62
Cumbres De Enmedio,0
Cumbres De San Bartolomé,0
Cumbres Mayores,1
Cunit,21
Cuntis,0
Curiel De Duero,0
Curtis,1
Cuzcurrita De Río Tirón,0
Cuéllar,2
Càlig,0
Cànoves I Samalús,6
Càrcer,0
Cáceres,115
Cádiar,0
Cádiz,103
Cájar,13
Cárcar,1
Cárcheles,0
Cárdenas,0
Cármenes,0
Cártama,0
Cáseda,1
Cástaras,0
Cáñar,0
Cóbdar,1
Cómpeta,1
Córdoba,400
Cózar,0
Cúllar,2
Cúllar Vega,18
Cútar,0
Daganzo De Arriba,17
Daimiel,0
Daimús,5
Dalías,8
Darnius,0
Daroca,0
Daroca De Rioja,0
Darro,1
Das,0
Daya Nueva,1
Daya Vieja,1
Deba,7
Degaña,0
Dehesa De Montejo,1
Dehesa De Romanos,0
Dehesa De San Felices,0
Dehesa De Santiago,0
Dehesas De Guadix,0
Dehesas Viejas,0
Deifontes,5
Deià,11
Deleitosa,0
Deltebre,0
Derio,32
Descargamaría,0
Desojo,0
Destriana,0
Deza,0
Dicastillo,1
Diego Del Carpio,0
Diezma,1
Dima,28
Dios Le Guarde,0
Dodro,2
Dolores,2
Domeño,0
Domingo García,0
Domingo Pérez,0
Domingo Pérez De Granada,1
Don Benito,0
Don Álvaro,0
Donamaria,0
Doneztebe/Santesteban,1
Donhierro,0
Donjimeno,0
Donostia/San Sebastián,495
Donvidas,0
Dos Aguas,0
Dos Hermanas,201
Dos Torres,0
Dosbarrios,0
Dosrius,0
Dozón,0
Doña Mencía,1
Doñinos De Ledesma,2
Doñinos De Salamanca,4
Driebes,2
Duesaigües,0
Dueñas,1
Dumbría,9
Durango,9
Duruelo,0
Duruelo De La Sierra,0
Durón,0
Dénia,156
Dévanos,0
Dílar,8
Dólar,1
Dúdar,6
Dúrcal,7
Ea,1
Echarri/Etxarri,1
Eibar,19
Eivissa,29
Ejea De Los Caballeros,0
Ejulve,0
El Acebrón,0
El Almendro,0
El Arco,0
El Arenal,0
El Astillero,10
El Atazar,1
El Ballestero,0
El Barco De Ávila,0
El Barraco,1
El Berrueco,1
El Boalo,32
El Bodón,0
El Bohodón,0
El Bonillo,0
El Borge,0
El Bosque,1
El Bruc,2
El Brull,0
El Burgo,0
El Burgo De Ebro,5
El Burgo Ranero,0
El Buste,0
El Busto,0
El Cabaco,0
El Camp De Mirra/Campo De Mirra,0
El Campello,85
El Campillo,0
El Campillo De La Jara,0
El Campo De Peñaranda,0
El Cardoso De La Sierra,0
El Carpio,3
El Carpio De Tajo,0
El Carrascalejo,0
El Casar,9
El Casar De Escalona,1
El Castell De Guadalest,0
El Castellar,0
El Castillo De Las Guardas,2
El Catllar,0
El Cañavate,0
El Cerro,1
El Cerro De Andévalo,0
El Cogul,0
El Coronil,0
El Cubillo De Uceda,0
El Cubo De Don Sancho,0
El Cubo De Tierra Del Vino,0
El Cuervo,0
El Cuervo De Sevilla,0
El Ejido,3
El Escorial,37
El Espinar,11
El Far D'Empordà,1
El Fondó De Les Neus/Hondón De Las Nieves,0
El Frago,0
El Franco,2
El Frasno,0
El Fresno,0
El Garrobo,1
El Gastor,1
El Genovés,0
El Gordo,0
El Grado,0
El Granado,1
El Guijo,0
El Herrumblar,1
El Hito,0
El Hornillo,0
El Hoyo De Pinares,2
El Lloar,1
El Losar Del Barco,0
El Maderal,0
El Madroño,0
El Manzano,0
El Masnou,8
El Masroig,1
El Maíllo,0
El Milano,0
El Milà,0
El Mirón,0
El Molar,3
El Montmell,4
El Morell,0
El Olivar,0
El Ordial,1
El Oso,0
El Palau D'Anglesola,1
El Palmar De Troya,1
El Palomar,0
El Papiol,25
El Parral,0
El Paso,0
El Payo,0
El Pedernoso,0
El Pedregal,1
El Pedroso,0
El Pedroso De La Armuña,0
El Pego,0
El Peral,0
El Perdigón,3
El Perelló,0
El Picazo,0
El Pinar,0
El Pinar De El Hierro,0
El Pinell De Brai,0
El Pino De Tormes,1
El Pinós/Pinoso,0
El Piñero,0
El Pla De Santa Maria,0
El Pla Del Penedès,0
El Poal,0
El Poble Nou De Benitatxell/Benitachell,3
El Pobo,0
El Pobo De Dueñas,0
El Pont D'Armentera,0
El Pont De Bar,3
El Pont De Suert,2
El Pont De Vilomara I Rocafort,0
El Port De La Selva,3
El Pozuelo,0
El Prat De Llobregat,166
El Provencio,1
El Puente Del Arzobispo,1
El Puerto De Santa María,13
El Pueyo De Araguás,0
El Puig De Santa Maria,3
El Rasillo De Cameros,0
El Real De Gandia,1
El Real De La Jara,0
El Real De San Vicente,0
El Recuenco,0
El Redal,0
El Redegüelo,0
El Robledo,0
El Romeral,0
El Ronquillo,3
El Rosario,0
El Rourell,0
El Royo,0
El Rubio,1
El Ràfol D'Almúnia,2
El Sahugo,0
El Saucejo,0
El Sauzal,0
El Soleràs,0
El Sotillo,0
El Tanque,0
El Tejado,0
El Tiemblo,1
El Toboso,0
El Tornadizo,0
El Torno,0
El Toro,0
El Valle,1
El Valle De Altomira,0
El Vallecillo,0
El Vellón,0
El Vendrell,17
El Verger,6
El Villar De Arnedo,0
El Vilosell,0
El Viso,0
El Viso De San Juan,0
El Viso Del Alcor,0
El Álamo,25
Elantxobe,1
Elburgo/Burgelu,8
Elche De La Sierra,0
Elciego,1
Elda,18
Elduain,0
Elgeta,1
Elgoibar,9
Elgorriaga,1
Eljas,0
Elorrio,6
Els Alamús,0
Els Garidells,0
Els Guiamets,0
Els Hostalets De Pierola,0
Els Omellons,1
Els Omells De Na Gaia,0
Els Pallaresos,0
Els Plans De Sió,0
Els Poblets,2
Els Prats De Rei,0
Els Torms,0
Elvillar/Bilar,2
Elx/Elche,401
Embid,0
Embid De Ariza,0
Emperador,1
Encina De San Silvestre,0
Encinacorba,0
Encinas,0
Encinas De Abajo,0
Encinas De Arriba,0
Encinas De Esgueva,0
Encinas Reales,0
Encinasola,0
Encinasola De Los Comendadores,0
Encinedo,0
Encinillas,0
Enciso,1
Encío,0
Endrinal,0
Enguera,0
Enguídanos,0
Enix,1
Entrala,1
Entrambasaguas,10
Entrena,1
Entrimo,0
Entrín Bajo,0
Enériz/Eneritz,1
Erandio,65
Eratsun,1
Ereño,0
Ergoiena,0
Erla,0
Ermua,16
Errenteria,74
Errezil,1
Erriberabeitia,2
Erriberagoitia/Ribera Alta,4
Errigoiti,4
Erro,8
Erustes,1
Es Bòrdes,2
Es Castell,5
Es Mercadal,4
Es Migjorn Gran,3
Escacena Del Campo,0
Escalante,2
Escalona,28
Escalona Del Prado,0
Escalonilla,0
Escamilla,0
Escarabajosa De Cabezas,0
Escariche,0
Escatrón,0
Escañuela,1
Escobar De Campos,0
Escobar De Polendos,0
Escobosa De Almazán,0
Escopete,0
Escorca,9
Escorihuela,0
Escucha,1
Escurial,0
Escurial De La Sierra,0
Escúzar,4
Esgos,0
Esguevillas De Esgueva,0
Eskoriatza,0
Eslava,1
Eslida,0
Espadaña,0
Espadañedo,0
Espadilla,0
Esparragalejo,1
Esparragosa De La Serena,1
Esparragosa De Lares,0
Esparreguera,8
Espartinas,7
Esparza De Salazar/Espartza Zaraitzu,1
Espeja,0
Espeja De San Marcelino,3
Espejo,2
Espejón,1
Espeluy,0
Espera,0
Espiel,0
Espinelves,0
Espino De La Orbada,0
Espinosa De Cerrato,0
Espinosa De Cervera,1
Espinosa De Henares,0
Espinosa De Los Caballeros,1
Espinosa De Los Monteros,7
Espinosa De Villagonzalo,0
Espinosa Del Camino,1
Espinoso Del Rey,1
Espirdo,2
Esplegares,0
Esplugues De Llobregat,101
Esplús,2
Espolla,1
Esponellà,0
Esporles,13
Espot,2
Espronceda,0
Esquivias,1
Establés,0
Estada,2
Estadilla,0
Estamariu,0
Estaràs,0
Estella-Lizarra,16
Estellencs,4
Estepa,1
Estepa De San Juan,1
Estepona,62
Estercuel,0
Esteribar,19
Esterri D'Àneu,1
Esterri De Cardós,0
Estivella,0
Estollo,0
Estopiñán Del Castillo,0
Estremera,1
Estriégana,0
Estubeny,0
Estépar,1
Etayo,0
Etxalar,0
Etxarri Aranatz,2
Etxauri,1
Etxebarri,22
Etxebarria,0
Eulate,0
Ezcabarte,8
Ezcaray,0
Ezcároz/Ezkaroze,1
Ezkio-Itsaso,1
Ezkurra,1
Ezprogui,0
Fabara,0
Fabero,0
Facero De Aristregui,0
Facero De Ujué Y Lerga,0
Facero De Uzamalarre,1
Facería De Aldape,0
Facería De Arambelza,0
Facería De Ayarza,0
"Facería De Cogullo Alto, Cogullo Bajo, Sarmindieta Y Chandivar",0
Facería De Ezcabarte Y Otros,0
Facería De Montejurra,0
Fageca,0
Fago,0
Falces,1
Falset,2
Famorca,0
Fanlo,0
Fanzara,0
Faraján,0
Faramontanos De Tábara,0
Fariza,0
Farlete,0
Farrera,0
Fasnia,0
Faura,0
Favara,0
Fayón,1
Felanitx,15
Felix,0
Fene,7
Feria,0
Fermoselle,0
Fernán Caballero,0
Fernán-Núñez,0
Ferreira,0
Ferreras De Abajo,0
Ferreras De Arriba,1
Ferreries,5
Ferreruela,0
